Postalcode,Borough,Neighborhood,City,Latitude,Longitude,IsDuplicate,Total Venues,1st Most Common Label,2nd Most Common Label,3rd Most Common Label,4th Most Common Label,5th Most Common Label,6th Most Common Label,7th Most Common Label,8th Most Common Label,9th Most Common Label,10th Most Common Label,Median Rent Studio,Median Rent 1 Bedroom,Median Rent 2 Bedrooms,Median Rent 3 Bedrooms,Median Rent Studio in USD,Median Rent 1 Bedroom in USD,Median Rent 2 Bedrooms in USD,Median Rent 3 Bedrooms in USD,innerouter,Proximity,Normalized Median Rent Studio in USD,Normalized Median Rent 1 Bedroom in USD,Normalized Median Rent 2 Bedrooms in USD,Normalized Median Rent 3 Bedrooms in USD,Normalized Proximity,Normalized Total Venues
G5B,Port-Cartier,Port-Cartier,Quebec City,50.021131000000025,-66.87629299999998,False,5.0,Retail,Dining and Lunching,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,Food and Beverage Retail,647.0,922.0,1029.0,1381.0,647.0,922.0,1029.0,1381.0,outer,479.8804452053045,-0.664645308290157,-0.05063744366778555,-0.0982625136332627,0.49726167349526434,0.7177007830394364,-0.35517401371581864
G6B,Lac-Mégantic,Frontenac,Quebec City,45.59446900000006,-70.91038599999996,False,7.0,Retail,Dining and Lunching,Food and Beverage Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,948.0,1113.0,1257.0,1519.0,948.0,1113.0,1257.0,1519.0,inner,137.3861128296839,1.2556344611240757,1.1917000941307214,1.1190101518873707,1.0390387467057518,-0.01026913074248562,-0.34280680345405923
G7B,Saguenay,La Baie,Quebec City,48.37224865500008,-71.13058857099998,True,1.0,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail,612.0,814.0,934.0,1110.0,612.0,814.0,934.0,1110.0,inner,173.55589003423202,-0.8879336535708817,-0.7531110252501875,-0.6054594576001934,-0.5666628688238813,0.06660954170289958,-0.3799084342393375
G8B,Alma,Alma Southeast,Quebec City,46.81228000000005,-71.21453999999994,True,100.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Retail,Community and Government,Business and Professional Services,Education,Event,696.0,811.0,906.0,1025.0,696.0,811.0,906.0,1025.0,inner,1.0603932974734412e-12,-0.3520416248971423,-0.772624180294143,-0.7549490831904466,-0.9003661385549787,-0.30228259565953813,0.23226847371775475
G9B,Trois-Rivières,Trois-Rivières South,Quebec City,46.34311100000008,-72.54331999999994,True,50.0,Dining and Lunching,Arts and Entertainment,Bar,Travel and Transportation,Food and Beverage Retail,Retail,Landmarks and Outdoors,Business and Professional Services,Community and Government,Education,948.0,1113.0,1257.0,1519.0,948.0,1113.0,1257.0,1519.0,inner,114.4291523967246,1.2556344611240757,1.1917000941307214,1.1190101518873707,1.0390387467057518,-0.05906403018259664,-0.07691178282623125
G1C,Central Beauport,Central Beauport,Quebec City,46.88576213500005,-71.19768057399995,False,9.0,Dining and Lunching,Food and Beverage Retail,Landmarks and Outdoors,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,647.0,922.0,1029.0,1381.0,647.0,922.0,1029.0,1381.0,inner,8.26943993951845,-0.664645308290157,-0.05063744366778555,-0.0982625136332627,0.49726167349526434,-0.284705944279529,-0.33043959319229976
G2C,Quebec City Northwest,Quebec City Northwest,Quebec City,46.83323970600003,-71.33179647699995,False,5.0,Dining and Lunching,Landmarks and Outdoors,Education,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Event,Financial Service,Food and Beverage Retail,648.0,906.0,996.0,1090.0,648.0,906.0,996.0,1090.0,inner,9.245913911427081,-0.6582656412821363,-0.15470760390221547,-0.27444671522177544,-0.6451812852311983,-0.2826304539547401,-0.35517401371581864
G5C,Baie-Comeau,Baie-Comeau Southwest,Quebec City,49.22131600000006,-68.15030299999995,True,5.0,Dining and Lunching,Travel and Transportation,Bar,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event,Financial Service,Food and Beverage Retail,647.0,922.0,1029.0,1381.0,647.0,922.0,1029.0,1381.0,outer,352.0836936557533,-0.664645308290157,-0.05063744366778555,-0.0982625136332627,0.49726167349526434,0.446069455414703,-0.35517401371581864
G6C,Lévis,Lévis North,Quebec City,46.81228000000005,-71.21453999999994,True,700.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Retail,Community and Government,Business and Professional Services,Education,Event,696.0,811.0,906.0,1025.0,696.0,811.0,906.0,1025.0,inner,1.0603932974734412e-12,-0.3520416248971423,-0.772624180294143,-0.7549490831904466,-0.9003661385549787,-0.30228259565953813,3.942431552245587
G8C,Alma,Alma Southwest,Quebec City,46.81228000000005,-71.21453999999994,True,100.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Retail,Community and Government,Business and Professional Services,Education,Event,696.0,811.0,906.0,1025.0,696.0,811.0,906.0,1025.0,inner,1.0603932974734412e-12,-0.3520416248971423,-0.772624180294143,-0.7549490831904466,-0.9003661385549787,-0.30228259565953813,0.23226847371775475
G9C,Trois-Rivières,Trois-Rivières West North,Quebec City,46.34311100000008,-72.54331999999994,True,100.0,Dining and Lunching,Arts and Entertainment,Bar,Travel and Transportation,Food and Beverage Retail,Retail,Landmarks and Outdoors,Business and Professional Services,Community and Government,Education,948.0,1113.0,1257.0,1519.0,948.0,1113.0,1257.0,1519.0,inner,114.4291523967246,1.2556344611240757,1.1917000941307214,1.1190101518873707,1.0390387467057518,-0.05906403018259664,0.23226847371775475
G1E,Beauport South,Beauport South,Quebec City,46.86116888600003,-71.19272504199995,False,17.0,Dining and Lunching,Food and Beverage Retail,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,647.0,970.0,1029.0,1286.0,647.0,970.0,1029.0,1286.0,inner,5.683952439441119,-0.664645308290157,0.26157303703550416,-0.0982625136332627,0.12429919556050847,-0.29020138445064203,-0.280970752145262
G2E,L'Ancienne-Lorette,L'Ancienne-Lorette,Quebec City,46.80730672200008,-71.35744980999993,False,10.0,Dining and Lunching,Retail,Travel and Transportation,Arts and Entertainment,Food and Beverage Retail,Bar,Business and Professional Services,Community and Government,Education,Event,684.0,831.0,921.0,1047.0,684.0,831.0,921.0,1047.0,inner,10.921661588628428,-0.4285976289933908,-0.6425364800011056,-0.674865355195668,-0.81399588050693,-0.2790686610233621,-0.32425598806142003
G3E,Saint-Émile,Saint-Émile,Quebec City,46.87734345600006,-71.33409803299998,False,6.0,Dining and Lunching,Food and Beverage Retail,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,1214.0,1122.0,1125.0,1212.0,1214.0,1122.0,1125.0,1212.0,inner,11.63955145698896,2.952625885257584,1.2502395592625883,0.41427334553331985,-0.16621894514656452,-0.2775427898594499,-0.3489904085849389
G6E,Sainte-Marie,Sainte-Marie,Quebec City,46.43834000000004,-71.02132599999999,False,8.0,Retail,Arts and Entertainment,Bar,Dining and Lunching,Business and Professional Services,Community and Government,Education,Event,Financial Service,Food and Beverage Retail,948.0,1113.0,1257.0,1519.0,948.0,1113.0,1257.0,1519.0,inner,44.12371071495086,1.2556344611240757,1.1917000941307214,1.1190101518873707,1.0390387467057518,-0.20849787910057038,-0.3366231983231795
G8E,Alma,Alma North,Quebec City,46.81228000000005,-71.21453999999994,True,100.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Retail,Community and Government,Business and Professional Services,Education,Event,696.0,811.0,906.0,1025.0,696.0,811.0,906.0,1025.0,inner,1.0603932974734412e-12,-0.3520416248971423,-0.772624180294143,-0.7549490831904466,-0.9003661385549787,-0.30228259565953813,0.23226847371775475
G1G,Charlesbourg  Orsainville,Charlesbourg  Orsainville,Quebec City,46.87777977800005,-71.28417983099996,False,15.0,Dining and Lunching,Retail,Travel and Transportation,Bar,Food and Beverage Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event,1214.0,1122.0,1125.0,1212.0,1214.0,1122.0,1125.0,1212.0,inner,9.013057350896002,2.952625885257584,1.2502395592625883,0.41427334553331985,-0.16621894514656452,-0.28312538935737175,-0.2933379624070214
G3G,Lac-Saint-Charles,Lac-Saint-Charles,Quebec City,46.92269453100005,-71.39083056299995,False,1.0,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail,698.0,805.0,907.0,1160.0,698.0,805.0,907.0,1160.0,inner,18.202405906710723,-0.3392822908811009,-0.8116504903820543,-0.7496101679907947,-0.37036682780558877,-0.2635934770203469,-0.3799084342393375
G6G,Thetford Mines,Saint-Jean-de-Brébeuf,Quebec City,46.08902800000004,-71.30198699999994,True,4.0,Dining and Lunching,Bar,Food and Beverage Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event,Financial Service,Health and Medicine,948.0,1113.0,1257.0,1519.0,948.0,1113.0,1257.0,1519.0,inner,80.67701512576063,1.2556344611240757,1.1917000941307214,1.1190101518873707,1.0390387467057518,-0.1308040215823732,-0.36135761884669837
G7G,Saguenay,North Chicoutimi,Quebec City,48.37224865500008,-71.13058857099998,True,1.0,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail,612.0,814.0,934.0,1110.0,612.0,814.0,934.0,1110.0,inner,173.55589003423202,-0.8879336535708817,-0.7531110252501875,-0.6054594576001934,-0.5666628688238813,0.06660954170289958,-0.3799084342393375
G8G,Métabetchouan–Lac-à-la-Croix,Métabetchouan–Lac-à-la-Croix,Quebec City,48.42970794100006,-71.85662215399998,False,6.0,Dining and Lunching,Landmarks and Outdoors,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,698.0,805.0,907.0,1160.0,698.0,805.0,907.0,1160.0,inner,186.1929174975896,-0.3392822908811009,-0.8116504903820543,-0.7496101679907947,-0.37036682780558877,0.09346947754227883,-0.3489904085849389
G1H,South Charlesbourg,South Charlesbourg,Quebec City,46.85305238700005,-71.25718162399994,False,9.0,Dining and Lunching,Bar,Retail,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event,Financial Service,1214.0,1330.0,1260.0,1300.0,1214.0,1330.0,1260.0,1300.0,inner,5.579236880272193,2.952625885257584,2.603151642310177,1.1350268974863265,0.1792620870456304,-0.2904239568244711,-0.33043959319229976
G5H,Mont-Joli,Saint-Joseph-de-Lepage,Quebec City,48.58546800000005,-68.18962899999997,False,6.0,Dining and Lunching,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,647.0,922.0,1029.0,1381.0,647.0,922.0,1029.0,1381.0,outer,300.6535730851968,-0.664645308290157,-0.05063744366778555,-0.0982625136332627,0.49726167349526434,0.3367550028868256,-0.3489904085849389
G6H,Thetford Mines,Irlande,Quebec City,46.08902800000004,-71.30198699999994,True,4.0,Dining and Lunching,Bar,Food and Beverage Retail,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event,Financial Service,Health and Medicine,948.0,1113.0,1257.0,1519.0,948.0,1113.0,1257.0,1519.0,inner,80.67701512576063,1.2556344611240757,1.1917000941307214,1.1190101518873707,1.0390387467057518,-0.1308040215823732,-0.36135761884669837
G7H,Saguenay,East Chicoutimi,Quebec City,48.37224865500008,-71.13058857099998,True,1.0,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail,612.0,814.0,934.0,1110.0,612.0,814.0,934.0,1110.0,inner,173.55589003423202,-0.8879336535708817,-0.7531110252501875,-0.6054594576001934,-0.5666628688238813,0.06660954170289958,-0.3799084342393375
G8H,Roberval,Roberval,Quebec City,48.52118000000007,-72.26780999999994,False,4.0,Travel and Transportation,Dining and Lunching,Landmarks and Outdoors,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,698.0,805.0,907.0,1160.0,698.0,805.0,907.0,1160.0,outer,205.8062751987409,-0.3392822908811009,-0.8116504903820543,-0.7496101679907947,-0.37036682780558877,0.13515756684771643,-0.36135761884669837
G9H,Bécancour,Bécancour,Quebec City,46.34106000000003,-72.43223999999998,False,4.0,Dining and Lunching,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,948.0,1113.0,1257.0,1519.0,948.0,1113.0,1257.0,1519.0,inner,107.03402283770352,1.2556344611240757,1.1917000941307214,1.1190101518873707,1.0390387467057518,-0.07478233941751444,-0.36135761884669837
G1J,Lower Riverbank,Lower Riverbank,Quebec City,46.83581260700004,-71.21804772799999,False,13.0,Dining and Lunching,Retail,Arts and Entertainment,Bar,Food and Beverage Retail,Landmarks and Outdoors,Travel and Transportation,Business and Professional Services,Community and Government,Education,635.0,730.0,858.0,938.0,635.0,730.0,858.0,938.0,inner,2.6297158307720876,-0.7412013123864054,-1.2994793664809445,-1.0112170127737379,-1.2419212499268077,-0.296693148402648,-0.3057051726687809
G2J,Inner North,Inner North,Quebec City,46.84129508000007,-71.27916876199998,False,40.0,Dining and Lunching,Retail,Travel and Transportation,Food and Beverage Retail,Arts and Entertainment,Bar,Office,Business and Professional Services,Community and Government,Education,1214.0,1330.0,1260.0,1300.0,1214.0,1330.0,1260.0,1300.0,inner,5.892491903822558,2.952625885257584,2.603151642310177,1.1350268974863265,0.1792620870456304,-0.2897581349088091,-0.13874783413502845
G5J,Amqui,Amqui,Quebec City,46.81228000000005,-71.21453999999994,True,100.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Retail,Community and Government,Business and Professional Services,Education,Event,696.0,811.0,906.0,1025.0,696.0,811.0,906.0,1025.0,inner,1.0603932974734412e-12,-0.3520416248971423,-0.772624180294143,-0.7549490831904466,-0.9003661385549787,-0.30228259565953813,0.23226847371775475
G6J,Lévis,Lévis North,Quebec City,46.81228000000005,-71.21453999999994,True,700.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Retail,Community and Government,Business and Professional Services,Education,Event,696.0,811.0,906.0,1025.0,696.0,811.0,906.0,1025.0,inner,1.0603932974734412e-12,-0.3520416248971423,-0.772624180294143,-0.7549490831904466,-0.9003661385549787,-0.30228259565953813,3.942431552245587
G7J,Saguenay,Chicoutimi West,Quebec City,48.37224865500008,-71.13058857099998,True,1.0,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail,612.0,814.0,934.0,1110.0,612.0,814.0,934.0,1110.0,inner,173.55589003423202,-0.8879336535708817,-0.7531110252501875,-0.6054594576001934,-0.5666628688238813,0.06660954170289958,-0.3799084342393375
G8J,Saint-Prime,La Doré,Quebec City,48.59242000000006,-72.33554999999996,False,4.0,Arts and Entertainment,Dining and Lunching,Food and Beverage Retail,Retail,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,698.0,805.0,907.0,1160.0,698.0,805.0,907.0,1160.0,outer,215.05811642257763,-0.3392822908811009,-0.8116504903820543,-0.7496101679907947,-0.37036682780558877,0.15482230702407057,-0.36135761884669837
G1K,Notre-Dame-des-Anges,Notre-Dame-des-Anges,Quebec City,46.79721475400004,-71.22124997499998,False,54.0,Dining and Lunching,Bar,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Food and Beverage Retail,Retail,Business and Professional Services,Community and Government,Education,652.0,832.0,1024.0,1117.0,652.0,832.0,1024.0,1117.0,inner,1.7513295663936794,-0.6327469732500535,-0.6360320949864537,-0.1249570896315222,-0.5391814230813203,-0.29856015381763246,-0.05217736230271237
G2K,Outer North,Outer North,Quebec City,46.84810430600004,-71.30267785199999,False,5.0,Bar,Dining and Lunching,Landmarks and Outdoors,Retail,Travel and Transportation,Arts and Entertainment,Business and Professional Services,Community and Government,Education,Event,1214.0,1122.0,1125.0,1212.0,1214.0,1122.0,1125.0,1212.0,inner,7.8154216540466575,2.952625885257584,1.2502395592625883,0.41427334553331985,-0.16621894514656452,-0.2856709577728555,-0.35517401371581864
G3K,South Val-Bélair,South Val-Bélair,Quebec City,46.83028513600004,-71.44534944599997,False,1.0,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail,648.0,906.0,996.0,1090.0,648.0,906.0,996.0,1090.0,inner,17.72625335691308,-0.6582656412821363,-0.15470760390221547,-0.27444671522177544,-0.6451812852311983,-0.2646055367768368,-0.3799084342393375
G6K,Lévis,Lévis North,Quebec City,46.81228000000005,-71.21453999999994,True,700.0,Dining and Lunching,Landmarks and Outdoors,Travel and Transportation,Arts and Entertainment,Bar,Retail,Community and Government,Business and Professional Services,Education,Event,696.0,811.0,906.0,1025.0,696.0,811.0,906.0,1025.0,inner,1.0603932974734412e-12,-0.3520416248971423,-0.772624180294143,-0.7549490831904466,-0.9003661385549787,-0.30228259565953813,3.942431552245587
G7K,Saguenay,Southwest Chicoutimi,Quebec City,48.37224865500008,-71.13058857099998,True,1.0,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,Food and Beverage Retail,612.0,814.0,934.0,1110.0,612.0,814.0,934.0,1110.0,inner,173.55589003423202,-0.8879336535708817,-0.7531110252501875,-0.6054594576001934,-0.5666628688238813,0.06660954170289958,-0.3799084342393375
G8K,Saint-Félicien,Saint-Félicien,Quebec City,48.657771000000025,-72.45097899999996,False,6.0,Dining and Lunching,Food and Beverage Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,698.0,805.0,907.0,1160.0,698.0,805.0,907.0,1160.0,outer,225.1682197375531,-0.3392822908811009,-0.8116504903820543,-0.7496101679907947,-0.37036682780558877,0.17631127879034586,-0.3489904085849389
G1L,Quebec City Northeast,Quebec City Northeast South,Quebec City,46.83049099600004,-71.24320141399994,False,18.0,Dining and Lunching,Food and Beverage Retail,Retail,Arts and Entertainment,Landmarks and Outdoors,Business and Professional Services,Travel and Transportation,Bar,Community and Government,Education,635.0,730.0,858.0,938.0,635.0,730.0,858.0,938.0,inner,2.980267314105198,-0.7412013123864054,-1.2994793664809445,-1.0112170127737379,-1.2419212499268077,-0.29594805305660804,-0.2747871470143823
G3L,Saint-Raymond,Saint-Raymond,Quebec City,46.89141200000006,-71.83264599999995,False,6.0,Dining and Lunching,Arts and Entertainment,Food and Beverage Retail,Retail,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,698.0,805.0,907.0,1160.0,698.0,805.0,907.0,1160.0,inner,47.95410353753548,-0.3392822908811009,-0.8116504903820543,-0.7496101679907947,-0.37036682780558877,-0.20035639917164208,-0.3489904085849389
G5L,Rimouski,Rimouski Central,Quebec City,48.44922800000006,-68.52525899999995,True,35.0,Dining and Lunching,Bar,Retail,Travel and Transportation,Arts and Entertainment,Food and Beverage Retail,Sports and Recreation,Business and Professional Services,Community and Government,Education,647.0,922.0,1029.0,1381.0,647.0,922.0,1029.0,1381.0,outer,271.95311798556287,-0.664645308290157,-0.05063744366778555,-0.0982625136332627,0.49726167349526434,0.27575233554496553,-0.16966585978942705
G6L,Plessisville,Princeville,Quebec City,46.219445000000064,-71.77213499999993,False,7.0,Dining and Lunching,Food and Beverage Retail,Retail,Travel and Transportation,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,948.0,1113.0,1257.0,1519.0,948.0,1113.0,1257.0,1519.0,inner,78.57329472859949,1.2556344611240757,1.1917000941307214,1.1190101518873707,1.0390387467057518,-0.1352754682936814,-0.34280680345405923
G8L,Dolbeau-Mistassini,Saint-Stanislas,Quebec City,48.88262400000008,-72.23338099999995,False,8.0,Retail,Dining and Lunching,Food and Beverage Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,698.0,805.0,907.0,1160.0,698.0,805.0,907.0,1160.0,outer,242.49132925207195,-0.3392822908811009,-0.8116504903820543,-0.7496101679907947,-0.37036682780558877,0.21313145754264318,-0.3366231983231795
G1M,North Central,North Central North,Quebec City,46.82439100000005,-71.25270099999994,False,34.0,Dining and Lunching,Retail,Food and Beverage Retail,Arts and Entertainment,Landmarks and Outdoors,Travel and Transportation,Business and Professional Services,Bar,Community and Government,Education,618.0,734.0,890.0,1078.0,618.0,734.0,890.0,1078.0,inner,3.2083538477198372,-0.8496556515227575,-1.273461826422337,-0.840371726384877,-0.6922923350755885,-0.29546325632126186,-0.17584946492030676
G2M,Quebec City Northeast,Quebec City Northeast North,Quebec City,46.91809124500003,-71.30859262599995,False,6.0,Retail,Travel and Transportation,Dining and Lunching,Landmarks and Outdoors,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,612.0,814.0,934.0,1110.0,612.0,814.0,934.0,1110.0,inner,13.776471585068395,-0.8879336535708817,-0.7531110252501875,-0.6054594576001934,-0.5666628688238813,-0.27300077729355793,-0.3489904085849389
G3M,Donnacona,Donnacona,Quebec City,46.67266700000005,-71.73724999999996,False,4.0,Dining and Lunching,Retail,Arts and Entertainment,Bar,Business and Professional Services,Community and Government,Education,Event,Financial Service,Food and Beverage Retail,684.0,831.0,921.0,1047.0,684.0,831.0,921.0,1047.0,inner,42.8548436453975,-0.4285976289933908,-0.6425364800011056,-0.674865355195668,-0.81399588050693,-0.21119484942652147,-0.36135761884669837
G5M,Rimouski,Rimouski Northeast,Quebec City,48.44922800000006,-68.52525899999995,True,35.0,Dining and Lunching,Bar,Retail,Travel and Transportation,Arts and Entertainment,Food and Beverage Retail,Sports and Recreation,Business and Professional Services,Community and Government,Education,647.0,922.0,1029.0,1381.0,647.0,922.0,1029.0,1381.0,outer,271.95311798556287,-0.664645308290157,-0.05063744366778555,-0.0982625136332627,0.49726167349526434,0.27575233554496553,-0.16966585978942705
G8M,Normandin,Albanel,Quebec City,49.39878691681266,0.2476695881292606,False,5.0,Arts and Entertainment,Retail,Food and Beverage Retail,Bar,Business and Professional Services,Community and Government,Dining and Lunching,Education,Event,Financial Service,1037.0,1659.0,2341.0,3121.0,1037.0,1659.0,2341.0,3121.0,outer,5125.399602359336,1.8234248248379188,4.743094312130642,6.906394228310032,7.328363900931845,10.591727476703959,-0.35517401371581864
